region,year,week,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM25,RH,SO2
北北基桃竹苗,2016,49,20.4,3.91,13.38,17.28,31.64,42.9,17.6,78.93,2.78
北北基桃竹苗,2016,50,19.13,5.04,14.14,19.2,32.06,40.56,16.94,76.59,2.43
北北基桃竹苗,2016,51,19.85,7.66,17.7,25.39,27.13,41.93,20.08,71.86,2.81
北北基桃竹苗,2016,52,17.87,4.64,13.73,18.32,31.54,41.76,18.69,73.49,2.23
北北基桃竹苗,2017,1,21.03,6.69,17.32,23.98,24.68,46.98,23.34,81.77,2.84
北北基桃竹苗,2017,2,17.74,4.28,14.27,18.53,31.18,40.09,20.73,79.91,2.76
北北基桃竹苗,2017,3,16.11,5.2,13.94,19.16,29.23,32.58,13.17,80.3,2.19
北北基桃竹苗,2017,4,15.9,3.92,11.99,15.86,36.61,38.34,16.93,72.29,2.26
北北基桃竹苗,2017,5,17.78,4.58,12.32,16.88,29.93,36.24,17.24,78.22,2.15
北北基桃竹苗,2017,6,15.05,3.93,12.22,16.14,36.93,50.18,25.25,69.28,2.37
北北基桃竹苗,2017,7,17.37,5.82,16.85,22.67,36.55,44.31,21.63,66.09,2.51
北北基桃竹苗,2017,8,17.25,6.43,17.15,23.56,29.89,35.7,18.12,83.3,2.14
北北基桃竹苗,2017,9,15.48,6.21,18.11,24.32,36.11,49.49,24.21,75.0,2.77
北北基桃竹苗,2017,10,16.61,5.88,19.32,25.17,38.12,45.08,23.93,82.34,2.63
北北基桃竹苗,2017,11,17.46,4.68,16.35,21.04,35.54,39.52,18.31,83.88,2.31
北北基桃竹苗,2017,12,19.44,5.11,16.22,21.25,37.08,33.88,15.79,82.67,2.62
北北基桃竹苗,2017,13,18.56,5.1,18.75,23.88,43.94,66.32,32.45,70.54,3.04
北北基桃竹苗,2017,14,21.67,5.21,17.84,22.97,42.62,52.92,29.33,63.33,3.11
北北基桃竹苗,2017,15,22.53,6.1,17.88,23.97,31.12,42.84,21.23,78.84,3.01
北北基桃竹苗,2017,16,24.56,6.04,15.18,21.19,27.63,43.64,22.63,80.38,2.68
北北基桃竹苗,2017,17,20.88,5.75,17.84,23.56,41.05,42.57,18.82,72.67,2.72
北北基桃竹苗,2017,18,25.07,5.06,16.63,21.64,33.94,45.54,25.07,73.38,3.46
北北基桃竹苗,2017,19,26.17,4.72,15.12,19.84,30.72,47.66,19.86,77.13,3.18
北北基桃竹苗,2017,20,24.43,3.38,13.59,16.97,38.82,28.99,13.57,78.56,2.64
北北基桃竹苗,2017,21,24.83,4.04,13.33,17.34,32.5,30.03,13.04,78.82,2.91
北北基桃竹苗,2017,22,26.44,4.27,12.15,16.39,28.9,24.57,11.38,80.91,2.3
北北基桃竹苗,2017,23,28.02,5.16,13.53,18.66,25.47,35.21,18.3,80.41,3.15
北北基桃竹苗,2017,24,25.97,6.07,13.37,19.42,23.34,21.11,8.43,85.69,2.29
北北基桃竹苗,2017,25,28.06,8.06,12.24,20.27,17.51,24.45,10.3,75.94,2.75
北北基桃竹苗,2017,26,29.37,4.7,11.82,16.53,23.82,29.92,13.65,73.68,3.14
北北基桃竹苗,2017,27,28.87,5.79,12.13,17.89,19.44,23.93,9.19,75.99,2.7
北北基桃竹苗,2017,28,29.88,5.31,12.27,17.62,20.75,28.18,12.5,74.42,3.09
北北基桃竹苗,2017,29,30.49,4.55,11.24,15.65,24.49,30.44,14.54,70.3,3.13
北北基桃竹苗,2017,30,30.01,4.25,11.17,15.4,25.46,30.64,15.87,73.94,3.01
北北基桃竹苗,2017,31,29.26,5.17,12.71,17.8,24.3,31.31,14.0,76.63,2.75
北北基桃竹苗,2017,32,31.12,4.64,10.43,15.0,22.43,32.16,14.15,68.87,2.75
北北基桃竹苗,2017,33,30.21,4.6,12.19,16.79,24.98,31.29,17.19,71.84,3.46
北北基桃竹苗,2017,34,29.8,4.48,10.51,14.97,23.42,27.89,13.31,73.54,2.76
北北基桃竹苗,2017,35,29.19,3.85,9.62,13.5,25.53,25.84,11.72,73.5,2.49
北北基桃竹苗,2017,36,28.91,4.84,12.99,17.8,24.9,31.96,15.99,78.98,3.21
北北基桃竹苗,2017,37,28.62,4.96,13.07,18.04,29.72,35.57,16.31,71.91,3.04
北北基桃竹苗,2017,38,28.88,3.54,15.33,18.82,42.85,46.63,26.03,69.03,4.06
北北基桃竹苗,2017,39,29.88,4.31,13.94,18.21,31.33,36.93,19.77,71.71,3.32
北北基桃竹苗,2017,40,28.57,3.15,11.39,14.57,35.67,38.95,19.25,75.39,2.89
北北基桃竹苗,2017,41,27.79,3.73,8.06,11.84,23.6,25.26,10.53,78.69,2.15
北北基桃竹苗,2017,42,24.62,5.85,11.11,17.01,29.47,26.79,10.59,85.47,2.0
北北基桃竹苗,2017,43,22.06,3.84,13.42,17.22,48.35,46.75,21.49,68.42,2.24
北北基桃竹苗,2017,44,21.76,4.24,12.43,16.61,38.5,38.57,16.26,76.25,2.22
北北基桃竹苗,2017,45,23.77,3.85,12.35,16.12,34.06,34.7,15.96,81.1,2.31
北北基桃竹苗,2017,46,22.92,4.99,14.87,19.87,26.46,30.25,14.59,84.9,2.7
北北基桃竹苗,2017,47,18.56,4.85,13.21,18.03,28.07,24.62,10.34,85.57,2.15
北北基桃竹苗,2017,48,21.5,5.2,12.91,18.09,29.57,29.78,13.72,83.97,2.2
北北基桃竹苗,2017,49,16.69,4.97,14.24,19.12,32.14,36.9,17.63,78.65,2.36
北北基桃竹苗,2017,50,17.79,5.48,13.64,19.06,30.31,30.17,13.72,79.85,2.36
北北基桃竹苗,2017,51,16.01,5.15,13.93,19.09,32.73,35.81,17.14,73.24,2.56
北北基桃竹苗,2017,52,18.03,3.85,13.95,17.77,34.6,52.0,25.72,74.23,2.65
北北基桃竹苗,2018,1,18.09,5.06,14.35,19.41,27.84,32.74,14.33,81.94,2.34
北北基桃竹苗,2018,2,12.69,6.29,14.52,20.77,28.73,29.59,12.77,68.75,2.28
北北基桃竹苗,2018,3,18.8,7.12,17.43,24.55,28.6,36.43,18.31,82.6,2.95
北北基桃竹苗,2018,4,16.78,3.76,12.07,15.82,32.43,28.91,11.45,80.49,2.1
北北基桃竹苗,2018,5,11.31,4.06,13.22,17.34,31.12,27.54,15.25,88.33,1.97
北北基桃竹苗,2018,6,11.97,7.43,16.75,24.12,30.15,37.98,18.31,83.56,2.2
北北基桃竹苗,2018,7,17.17,5.35,16.69,22.04,34.61,67.88,27.7,71.08,2.64
北北基桃竹苗,2018,8,16.46,4.87,15.56,20.43,29.96,43.42,22.26,85.32,2.31
北北基桃竹苗,2018,9,19.87,10.04,20.16,30.17,25.67,58.36,30.2,82.23,3.07
北北基桃竹苗,2018,10,16.78,4.16,12.87,17.03,33.82,35.57,16.21,73.72,2.03
北北基桃竹苗,2018,11,20.09,7.07,19.8,26.87,30.71,46.17,23.35,76.31,3.08
北北基桃竹苗,2018,12,18.56,4.06,14.72,18.85,39.35,44.54,20.35,66.94,2.15
北北基桃竹苗,2018,13,22.53,3.93,13.13,17.09,36.01,48.65,22.02,67.97,2.28
北北基桃竹苗,2018,14,21.13,3.63,12.86,16.43,36.33,66.87,27.28,69.75,2.35
北北基桃竹苗,2018,15,23.42,6.48,16.89,23.31,30.15,47.05,21.75,75.16,3.05
北北基桃竹苗,2018,16,22.09,3.49,15.2,18.71,42.97,55.72,24.59,72.68,2.79
北北基桃竹苗,2018,17,23.84,3.65,15.73,19.37,40.8,44.44,24.44,73.98,2.84
北北基桃竹苗,2018,18,25.79,3.81,14.22,17.99,35.48,43.52,22.93,72.69,2.98
北北基桃竹苗,2018,19,25.29,3.49,13.49,16.9,37.41,40.74,17.46,72.71,2.99
北北基桃竹苗,2018,20,28.54,4.64,13.34,18.03,23.89,37.02,19.11,75.3,3.74
北北基桃竹苗,2018,21,28.23,3.57,13.54,17.06,32.04,39.39,19.14,72.13,3.48
北北基桃竹苗,2018,22,27.85,2.98,11.74,14.76,37.18,33.52,16.83,75.64,2.93
北北基桃竹苗,2018,23,28.63,3.91,11.19,15.11,25.56,29.63,13.46,76.09,2.97
北北基桃竹苗,2018,24,26.74,3.04,12.16,15.16,42.27,31.64,14.61,75.37,2.25
北北基桃竹苗,2018,25,28.28,5.12,10.62,15.79,18.49,24.06,9.47,76.95,2.53
北北基桃竹苗,2018,26,29.39,4.23,11.34,15.54,24.34,29.03,14.49,71.84,3.23
北北基桃竹苗,2018,27,29.62,4.66,9.24,13.9,21.68,24.37,9.72,68.52,2.47
北北基桃竹苗,2018,28,29.06,4.37,7.57,11.93,18.4,26.19,11.15,73.69,2.5
北北基桃竹苗,2018,29,29.67,4.7,7.38,12.09,17.73,25.37,11.87,71.95,2.52
北北基桃竹苗,2018,30,29.59,4.75,11.85,16.55,24.16,35.89,17.09,74.91,3.1
北北基桃竹苗,2018,31,30.29,4.14,11.59,15.65,28.24,34.19,15.74,71.57,2.99
北北基桃竹苗,2018,32,29.81,3.66,10.92,14.55,27.37,34.78,19.13,71.79,3.14
北北基桃竹苗,2018,33,28.68,4.11,11.95,16.07,25.73,27.09,11.26,77.94,2.68
北北基桃竹苗,2018,34,28.28,3.75,11.56,15.23,27.12,24.9,10.31,80.23,2.44
北北基桃竹苗,2018,35,27.38,5.87,13.2,19.07,19.91,28.02,11.75,79.14,2.46
北北基桃竹苗,2018,36,28.16,4.03,12.18,16.21,27.98,32.88,15.72,78.46,2.77
北北基桃竹苗,2018,37,28.37,4.55,9.39,13.87,22.24,27.88,11.37,74.95,2.36
北北基桃竹苗,2018,38,29.01,4.11,11.55,15.62,26.06,37.94,20.67,73.57,3.07
北北基桃竹苗,2018,39,25.11,3.32,10.45,13.82,40.9,38.78,13.67,76.77,2.04
北北基桃竹苗,2018,40,24.18,2.83,11.81,14.69,51.02,41.72,17.17,67.79,2.37
北北基桃竹苗,2018,41,22.78,3.15,11.65,14.8,36.59,26.83,11.99,83.77,2.26
北北基桃竹苗,2018,42,22.76,3.17,12.37,15.58,40.1,30.0,12.27,79.13,2.17
北北基桃竹苗,2018,43,23.21,3.94,13.32,17.18,39.21,46.37,18.38,72.85,2.69
北北基桃竹苗,2018,44,21.87,3.37,11.32,14.52,42.19,30.18,11.39,77.57,2.1
北北基桃竹苗,2018,45,24.03,4.91,14.52,19.46,27.5,41.07,21.46,81.79,2.88
北北基桃竹苗,2018,46,22.45,4.28,13.65,17.91,29.45,31.0,14.54,80.19,2.54
北北基桃竹苗,2018,47,20.85,4.15,13.09,17.26,30.5,26.1,12.84,78.96,2.3
北北基桃竹苗,2018,48,20.97,5.11,15.71,20.8,31.86,38.33,18.9,75.12,2.7
北北基桃竹苗,2018,49,20.89,5.81,14.09,19.88,26.66,26.64,12.67,79.62,2.54
北北基桃竹苗,2018,50,18.39,4.59,12.21,16.82,25.33,21.46,10.51,84.35,2.11
北北基桃竹苗,2018,51,19.16,6.55,18.37,24.89,32.15,47.38,22.86,71.82,2.98
北北基桃竹苗,2018,52,16.88,3.66,10.02,13.72,30.24,15.4,7.34,84.35,1.9
北北基桃竹苗,2019,1,18.64,5.36,13.47,18.82,24.45,19.92,10.24,87.3,2.1
北北基桃竹苗,2019,2,19.6,6.24,14.97,21.2,23.22,30.89,14.46,84.87,2.18
北北基桃竹苗,2019,3,16.9,5.61,15.54,21.12,31.48,39.12,19.07,81.25,2.17
北北基桃竹苗,2019,4,15.4,4.52,14.89,19.41,37.8,44.1,20.26,70.47,2.39
北北基桃竹苗,2019,5,18.28,6.45,17.22,23.63,30.05,44.29,23.7,76.03,2.43
北北基桃竹苗,2019,6,17.62,2.87,9.82,12.66,30.88,32.45,16.05,83.67,1.77
北北基桃竹苗,2019,7,18.6,3.9,13.01,16.91,28.59,25.65,12.66,85.97,2.01
北北基桃竹苗,2019,8,18.0,5.09,14.74,19.85,30.24,30.67,15.04,86.15,2.13
北北基桃竹苗,2019,9,18.73,4.09,15.19,19.27,32.82,46.22,23.03,82.83,2.11
北北基桃竹苗,2019,10,16.38,4.71,16.41,21.03,35.01,27.6,15.44,85.47,1.98
北北基桃竹苗,2019,11,19.15,4.11,16.06,20.18,42.84,42.64,21.44,69.8,2.18
北北基桃竹苗,2019,12,20.04,4.95,15.41,20.39,32.76,37.93,19.63,82.48,2.24
北北基桃竹苗,2019,13,20.86,3.66,13.27,16.9,40.02,38.03,17.74,78.02,2.2
北北基桃竹苗,2019,14,22.1,4.56,14.82,19.39,38.38,40.39,22.35,80.6,2.26
北北基桃竹苗,2019,15,21.99,3.85,12.94,16.78,36.87,33.35,17.25,80.0,2.2
北北基桃竹苗,2019,16,23.39,4.36,16.77,21.11,34.33,35.65,20.11,81.7,2.64
北北基桃竹苗,2019,17,26.43,3.97,12.55,16.52,33.25,33.24,17.25,76.36,2.89
北北基桃竹苗,2019,18,22.38,3.08,11.8,14.82,41.04,32.33,14.59,77.41,1.95
北北基桃竹苗,2019,19,22.8,3.37,12.96,16.36,36.31,24.61,12.63,83.94,2.27
北北基桃竹苗,2019,20,26.92,5.32,11.63,16.87,21.96,29.75,15.05,80.76,2.29
北北基桃竹苗,2019,21,25.18,3.63,13.8,17.44,38.22,38.73,17.5,72.41,2.25
北北基桃竹苗,2019,22,26.03,4.32,11.6,15.9,29.85,26.97,11.23,77.88,2.24
北北基桃竹苗,2019,23,28.63,6.48,10.72,17.12,18.25,23.01,10.01,73.63,2.3
北北基桃竹苗,2019,24,25.4,4.38,13.45,17.75,36.36,22.04,11.94,81.43,2.18
北北基桃竹苗,2019,25,28.56,4.48,11.16,15.58,21.26,20.75,9.09,76.46,2.22
北北基桃竹苗,2019,26,28.73,4.73,11.37,16.06,23.62,20.71,9.62,77.19,2.21
北北基桃竹苗,2019,27,29.66,4.34,9.23,13.59,22.19,18.85,8.6,70.74,2.0
北北基桃竹苗,2019,28,30.01,4.25,9.02,13.26,21.29,20.41,11.83,70.29,2.07
北北基桃竹苗,2019,29,29.52,4.3,8.79,13.02,21.01,21.74,10.06,75.83,2.15
北北基桃竹苗,2019,30,29.3,4.3,10.3,14.54,23.81,21.78,11.06,75.99,2.25
北北基桃竹苗,2019,31,30.18,3.98,7.53,11.51,21.57,18.89,10.71,71.78,2.2
北北基桃竹苗,2019,32,29.44,3.78,6.87,10.67,23.16,21.4,10.7,77.52,1.93
北北基桃竹苗,2019,33,29.13,3.54,9.83,13.39,31.51,19.04,11.06,75.74,2.07
北北基桃竹苗,2019,34,28.73,4.06,9.35,13.42,23.3,20.89,10.67,78.31,2.23
北北基桃竹苗,2019,35,29.4,4.65,9.3,13.94,22.64,23.59,14.07,74.84,2.4
北北基桃竹苗,2019,36,27.98,5.44,10.34,15.73,21.56,20.41,11.77,78.81,2.34
北北基桃竹苗,2019,37,28.43,3.86,8.69,12.51,26.96,23.63,13.72,75.27,2.2
北北基桃竹苗,2019,38,24.39,3.4,11.43,14.82,45.1,32.8,14.0,77.67,2.02
北北基桃竹苗,2019,39,25.16,3.91,9.52,13.47,26.01,18.07,8.21,81.1,2.04
北北基桃竹苗,2019,40,27.22,4.68,11.71,16.42,32.67,35.46,23.03,74.82,2.36
北北基桃竹苗,2019,41,25.5,2.7,10.53,13.2,43.84,31.83,16.94,72.03,2.22
北北基桃竹苗,2019,42,22.73,2.85,10.37,13.24,45.4,32.73,13.73,71.21,1.96
北北基桃竹苗,2019,43,23.37,3.27,11.67,14.92,40.56,28.0,13.74,72.58,2.2
北北基桃竹苗,2019,44,22.87,2.66,10.43,13.04,43.54,40.86,17.56,80.72,2.0
北北基桃竹苗,2019,45,21.48,3.35,10.79,14.13,43.23,28.68,12.71,68.28,2.03
北北基桃竹苗,2019,46,21.54,4.62,14.88,19.49,38.78,42.47,21.61,70.88,2.31
北北基桃竹苗,2019,47,20.72,4.31,10.79,15.05,27.98,22.12,9.68,82.93,2.03
北北基桃竹苗,2019,48,19.09,3.54,11.08,14.67,32.25,23.93,11.47,77.43,2.08
北北基桃竹苗,2019,49,15.52,3.98,11.35,15.34,35.75,22.85,10.6,72.8,2.02
北北基桃竹苗,2019,50,19.25,5.89,15.81,21.72,31.07,32.17,16.87,73.94,2.47
北北基桃竹苗,2019,51,19.41,6.56,14.86,21.37,22.39,19.03,10.11,84.36,2.26
北北基桃竹苗,2019,52,18.25,7.25,15.26,22.53,23.4,23.15,12.12,82.15,2.06
宜花東,2016,1,21.12,4.53,10.81,15.33,21.84,28.68,13.23,82.31,2.06
宜花東,2016,2,18.25,3.09,10.35,13.44,26.94,28.18,14.18,80.56,1.79
宜花東,2016,3,17.91,3.99,11.41,15.32,23.72,31.55,16.65,81.62,2.09
宜花東,2016,4,14.35,4.38,10.12,14.4,24.9,26.12,12.48,77.66,1.86
宜花東,2016,5,17.98,3.49,10.21,13.69,25.88,20.11,9.3,81.31,1.71
宜花東,2016,6,16.59,2.47,8.96,11.29,36.91,45.3,23.93,67.76,1.84
宜花東,2016,7,18.08,3.1,9.28,12.34,24.65,26.18,13.3,77.34,1.75
宜花東,2016,8,17.77,2.56,9.59,12.08,33.91,42.43,18.78,74.52,1.79
宜花東,2016,9,18.0,2.59,9.15,11.59,35.38,39.35,17.12,69.75,1.8
宜花東,2016,10,21.11,3.19,8.96,12.1,24.96,29.09,14.01,78.42,1.94
宜花東,2016,11,17.6,3.91,11.18,15.01,28.29,27.09,13.41,82.69,1.8
宜花東,2016,12,20.34,3.89,10.51,14.41,29.76,37.27,19.1,84.08,1.85
宜花東,2016,13,17.56,2.29,10.19,12.51,41.97,45.96,23.56,70.83,2.05
宜花東,2016,14,24.3,2.41,9.02,11.44,28.65,45.96,24.02,78.02,2.08
宜花東,2016,15,24.11,2.56,9.51,11.94,26.35,32.63,15.9,81.95,2.09
宜花東,2016,16,24.79,2.83,8.57,11.25,29.06,32.54,13.85,77.62,2.07
宜花東,2016,17,26.06,2.59,7.48,10.05,25.14,34.19,16.04,78.99,2.13
宜花東,2016,18,25.34,2.36,7.93,10.19,35.18,47.86,22.84,75.99,2.11
宜花東,2016,19,27.12,2.3,6.75,9.03,24.27,29.17,10.97,77.4,1.74
宜花東,2016,20,25.48,2.05,6.6,8.62,31.65,26.16,10.72,79.95,1.81
宜花東,2016,21,26.31,2.54,7.52,9.95,23.87,25.5,11.34,85.3,1.98
宜花東,2016,22,29.32,2.35,6.12,8.46,20.49,27.28,10.24,76.89,2.01
宜花東,2016,23,28.17,2.25,6.11,8.3,21.86,23.14,9.3,78.8,1.81
宜花東,2016,24,27.34,3.57,6.73,9.59,16.37,23.61,7.79,82.29,1.74
宜花東,2016,25,29.22,2.75,5.38,8.18,17.2,22.54,8.24,74.49,1.96
宜花東,2016,26,29.72,2.79,5.32,8.21,15.52,22.43,7.59,74.66,1.92
宜花東,2016,27,29.88,2.88,4.96,7.88,14.68,21.16,7.0,72.73,1.7
宜花東,2016,28,28.37,2.49,5.44,7.93,22.14,26.5,7.7,81.96,1.73
宜花東,2016,29,29.92,2.68,5.87,8.48,20.68,28.36,10.53,72.56,2.0
宜花東,2016,30,30.13,2.39,5.56,7.92,22.18,26.44,11.93,70.57,2.12
宜花東,2016,31,29.19,2.37,5.63,8.0,21.24,28.69,9.94,74.65,1.92
宜花東,2016,32,29.47,2.35,5.58,7.75,23.39,23.68,9.89,75.22,1.94
宜花東,2016,33,28.22,2.5,5.95,8.25,20.46,21.64,7.23,80.16,1.94
宜花東,2016,34,29.22,2.38,5.95,8.34,25.16,29.38,12.73,74.29,2.04
宜花東,2016,35,27.84,2.15,7.08,9.04,36.73,38.01,17.24,74.39,2.05
宜花東,2016,36,27.87,2.71,6.57,9.27,21.02,25.36,9.9,80.46,1.96
宜花東,2016,37,27.33,2.74,5.31,8.15,19.63,20.92,6.82,83.77,1.95
宜花東,2016,38,26.8,2.48,6.12,8.68,27.76,29.26,10.88,78.82,1.83
宜花東,2016,39,27.32,2.27,5.29,7.66,28.02,36.37,12.17,80.47,1.69
宜花東,2016,40,27.11,2.92,6.15,9.17,18.44,25.71,9.87,79.72,2.03
宜花東,2016,41,25.32,3.39,6.58,9.84,18.28,17.63,6.23,87.76,1.75
宜花東,2016,42,27.04,3.2,6.09,9.3,18.8,29.35,10.56,78.84,1.87
宜花東,2016,43,27.49,2.59,6.79,9.39,21.17,28.43,9.63,81.16,1.95
宜花東,2016,44,24.45,2.11,6.62,8.69,33.11,38.5,10.69,76.19,1.88
宜花東,2016,45,22.99,2.48,7.9,10.54,28.96,31.91,11.0,76.56,1.8
宜花東,2016,46,23.9,2.55,8.64,11.2,29.48,40.76,16.89,76.58,1.96
宜花東,2016,47,23.35,3.23,8.6,11.95,22.75,27.49,10.92,82.18,1.87
宜花東,2016,48,21.27,2.8,9.37,12.19,26.17,33.46,11.82,81.59,1.71
宜花東,2016,49,22.05,2.53,9.44,12.03,28.96,40.32,16.45,78.67,1.99
宜花東,2016,50,20.58,2.66,9.28,11.93,29.45,33.36,13.52,77.86,1.95
宜花東,2016,51,20.41,3.3,9.73,13.16,23.93,34.5,14.85,74.8,2.01
宜花東,2016,52,19.31,2.68,9.28,11.94,27.82,41.75,16.2,73.42,1.83
宜花東,2017,1,22.06,2.96,8.94,11.91,24.41,33.89,14.95,75.06,1.86
宜花東,2017,2,19.33,2.5,9.86,12.28,29.42,38.29,17.81,79.95,1.9
宜花東,2017,3,18.07,2.81,9.33,12.18,28.21,30.95,12.54,78.54,1.79
宜花東,2017,4,17.55,2.34,8.92,11.38,32.77,35.79,15.5,72.94,1.84
宜花東,2017,5,19.39,2.22,7.37,9.47,29.75,28.48,11.94,77.68,1.76
宜花東,2017,6,17.06,2.4,8.5,10.71,33.97,47.48,22.17,71.99,1.92
宜花東,2017,7,18.08,2.59,9.18,11.77,33.21,37.16,17.03,70.05,1.85
宜花東,2017,8,20.01,2.79,9.93,12.67,29.12,31.57,14.47,81.22,1.81
宜花東,2017,9,17.68,2.21,9.56,11.73,36.99,43.12,20.38,75.29,1.73
宜花東,2017,10,18.55,2.47,10.88,13.46,35.96,34.31,17.81,82.5,1.8
宜花東,2017,11,20.03,2.59,8.87,11.24,33.55,31.74,14.65,80.35,1.65
宜花東,2017,12,21.77,2.33,8.31,10.65,35.65,29.75,13.73,81.83,1.81
宜花東,2017,13,19.7,2.31,8.9,11.05,40.01,48.9,21.69,74.32,1.56
宜花東,2017,14,21.89,1.91,8.03,9.93,38.8,42.81,20.44,67.43,1.86
宜花東,2017,15,23.2,2.48,8.62,11.11,31.07,33.61,15.57,80.71,1.86
宜花東,2017,16,25.23,2.64,6.99,9.46,24.71,34.0,15.39,79.98,2.02
宜花東,2017,17,21.77,2.39,8.32,10.63,39.55,34.25,14.48,76.73,1.82
宜花東,2017,18,25.35,2.27,6.85,9.08,29.07,32.94,15.4,75.13,1.79
宜花東,2017,19,27.06,2.36,6.42,8.92,27.17,32.62,12.5,75.81,2.19
宜花東,2017,20,24.34,2.11,7.42,9.33,35.51,25.55,10.97,82.07,2.08
宜花東,2017,21,25.08,2.28,6.69,8.89,29.67,23.33,8.83,81.67,1.76
宜花東,2017,22,25.89,2.45,7.15,9.36,26.09,21.78,8.88,84.23,1.82
宜花東,2017,23,27.84,2.93,5.85,8.74,18.22,24.66,9.19,79.44,2.0
宜花東,2017,24,27.13,2.82,6.53,9.34,20.02,26.35,6.84,82.02,1.73
宜花東,2017,25,28.43,3.2,6.89,10.07,19.44,28.47,9.64,74.71,2.25
宜花東,2017,26,29.56,2.59,5.84,8.34,18.13,28.04,10.83,72.62,2.46
宜花東,2017,27,28.71,3.32,5.12,8.5,12.72,21.63,6.6,75.03,2.13
宜花東,2017,28,29.78,2.75,5.31,8.04,15.24,21.24,7.63,71.79,2.18
宜花東,2017,29,29.58,2.76,5.42,8.25,15.44,22.86,9.1,72.01,2.19
宜花東,2017,30,29.69,2.46,5.22,7.64,17.68,24.44,9.69,73.47,2.04
宜花東,2017,31,28.86,2.5,5.6,7.97,22.54,32.68,12.35,79.02,2.05
宜花東,2017,32,31.0,2.15,5.77,7.99,25.17,33.31,14.1,69.57,2.13
宜花東,2017,33,30.55,2.28,5.34,7.69,21.69,27.39,12.63,70.92,2.01
宜花東,2017,34,29.01,2.48,5.23,7.71,18.81,25.71,8.91,76.93,1.81
宜花東,2017,35,28.21,2.62,6.06,8.64,17.43,24.08,8.66,77.93,1.77
宜花東,2017,36,29.05,2.11,5.66,7.83,19.52,28.1,10.43,77.84,1.89
宜花東,2017,37,29.16,2.38,5.67,8.03,24.03,29.71,12.25,71.68,1.85
宜花東,2017,38,28.43,2.08,6.14,8.26,29.42,33.38,16.08,75.34,2.14
宜花東,2017,39,29.23,2.32,6.2,8.49,22.72,27.06,12.11,74.65,2.05
宜花東,2017,40,28.3,1.71,6.1,7.88,27.52,33.61,14.5,77.16,1.91
宜花東,2017,41,27.22,2.65,6.1,8.83,19.16,23.55,8.41,82.7,1.72
